date,foreign,institution,individual,pension,trust,close
2022-04-01,-68149.0,-783049.0,846014.0,-114608.0,-24363.0,2739.85
2022-04-04,22338.0,13587.0,-2597.0,-22587.0,29312.0,2757.9
2022-04-05,14377.0,-247758.0,238186.0,-12253.0,-22742.0,2759.2
2022-04-06,-583600.0,-565796.0,1140200.0,-96174.0,-8481.0,2735.03
2022-04-07,-768255.0,-520333.0,1279890.0,-18955.0,-59295.0,2695.86
2022-04-08,-454433.0,9809.0,423363.0,18637.0,6025.0,2700.39
2022-04-11,-134301.0,1834.0,125910.0,15032.0,32477.0,2693.1
2022-04-12,-465719.0,-120298.0,561357.0,-50276.0,-4940.0,2666.76
2022-04-13,-64907.0,639266.0,-584203.0,151035.0,63422.0,2716.49
2022-04-14,-252830.0,154695.0,89756.0,-104588.0,77559.0,2716.71
2022-04-15,-318077.0,-442556.0,748606.0,9349.0,42198.0,2696.06
2022-04-18,-94658.0,-18825.0,102012.0,41544.0,36773.0,2693.21
2022-04-19,33137.0,336441.0,-343147.0,127616.0,24211.0,2718.89
2022-04-20,94776.0,-161244.0,73776.0,52097.0,43688.0,2718.69
2022-04-21,-59694.0,636602.0,-566687.0,75905.0,14471.0,2728.21
2022-04-22,-155561.0,-697498.0,836184.0,-63254.0,163.0,2704.71
2022-04-25,-722926.0,-347613.0,1063419.0,-7670.0,-34075.0,2657.13
2022-04-26,-246562.0,269699.0,-60845.0,135386.0,31249.0,2668.31
2022-04-27,-679722.0,-241839.0,905195.0,97486.0,-157842.0,2639.06
2022-04-28,-36481.0,194228.0,-168665.0,115357.0,122258.0,2667.49
2022-04-29,14353.0,493121.0,-493277.0,116589.0,79553.0,2695.05
2022-05-02,-67495.0,-180611.0,224675.0,-5161.0,35822.0,2687.45
2022-05-03,119039.0,-214021.0,104166.0,-45938.0,15883.0,2680.46
2022-05-04,31392.0,-150153.0,100908.0,-58398.0,-29875.0,2677.57
2022-05-06,-481108.0,-300135.0,764432.0,11478.0,-34421.0,2644.51
2022-05-09,-195714.0,-176775.0,338077.0,-111402.0,4780.0,2610.81
2022-05-10,-319648.0,7534.0,285646.0,664.0,3522.0,2596.56
2022-05-11,-288934.0,-89299.0,345288.0,666.0,25660.0,2592.27
2022-05-12,-279729.0,-157534.0,390867.0,-102547.0,32749.0,2550.08
2022-05-13,64164.0,861774.0,-908158.0,125622.0,41362.0,2604.24
2022-05-16,895.0,-115892.0,65047.0,14083.0,-20565.0,2596.58
2022-05-17,-54283.0,540889.0,-308276.0,64123.0,-3381.0,2620.44
2022-05-18,297328.0,-349587.0,25962.0,-277833.0,21970.0,2625.98
2022-05-19,-89557.0,-482840.0,516780.0,32551.0,-31409.0,2592.34
2022-05-20,194327.0,836490.0,-1041214.0,92765.0,17238.0,2639.29
2022-05-23,-29989.0,169737.0,-165261.0,-58484.0,-39269.0,2647.38
2022-05-24,-323686.0,-282072.0,578623.0,-36502.0,-13824.0,2605.87
2022-05-25,-166340.0,511224.0,-358124.0,36048.0,-6668.0,2617.22
2022-05-26,36656.0,-154636.0,93043.0,-79710.0,-31193.0,2612.45
2022-05-27,273896.0,554355.0,-744728.0,27692.0,15844.0,2638.05
2022-05-30,349315.0,420358.0,-802109.0,20915.0,55590.0,2669.66
2022-05-31,1058702.0,-585435.0,-508991.0,-5245.0,8223.0,2685.9
2022-06-02,-86986.0,-748870.0,792766.0,3009.0,-24755.0,2658.99
2022-06-03,-12613.0,321975.0,-310352.0,64350.0,5650.0,2670.65
2022-06-07,-204814.0,-822961.0,992407.0,-38812.0,-22725.0,2626.34
2022-06-08,-123027.0,-55381.0,139240.0,27991.0,1845.0,2626.15
2022-06-09,-934045.0,555288.0,372977.0,-106421.0,43615.0,2625.44
2022-06-10,-848263.0,-281364.0,1106629.0,97591.0,-20852.0,2595.87
2022-06-13,-495506.0,-218144.0,667899.0,-21453.0,-28708.0,2504.51
2022-06-14,-278201.0,195039.0,37321.0,37631.0,1888.0,2492.97
2022-06-15,-475458.0,79729.0,346550.0,-51169.0,-57685.0,2447.38
2022-06-16,155110.0,-18655.0,-156029.0,683.0,-7955.0,2451.41
2022-06-17,-388073.0,53064.0,275992.0,-22664.0,-14867.0,2440.93
2022-06-20,-662758.0,444823.0,182906.0,-9230.0,2031.0,2391.03
2022-06-21,-320490.0,540746.0,-233518.0,-11903.0,2371.0,2408.93
2022-06-22,-320712.0,-79432.0,375594.0,-33092.0,-42851.0,2342.81
2022-06-23,-296071.0,926411.0,-672567.0,-25010.0,19624.0,2314.32
2022-06-24,-36853.0,641220.0,-624312.0,16210.0,8902.0,2366.6
2022-06-27,265519.0,-202602.0,-93130.0,-34119.0,47490.0,2401.92
2022-06-28,-37592.0,-88477.0,105894.0,-47597.0,-2866.0,2422.09
2022-06-29,-227256.0,-504606.0,695262.0,-39956.0,-20593.0,2377.99
2022-06-30,-233514.0,-320396.0,520801.0,-1821.0,4308.0,2332.64
2022-07-01,-340410.0,-5789.0,327355.0,-34806.0,-26655.0,2305.42
2022-07-04,-140342.0,310974.0,-182464.0,-148.0,-52662.0,2300.34
2022-07-05,133000.0,250074.0,-398279.0,29734.0,45878.0,2341.78
2022-07-06,-46441.0,-890816.0,896929.0,-46619.0,-11156.0,2292.01
2022-07-07,143052.0,312959.0,-470280.0,68207.0,20036.0,2334.27
2022-07-08,247234.0,-183154.0,-87384.0,-30458.0,3028.0,2350.61
2022-07-11,-18455.0,-188017.0,192225.0,-44162.0,-26173.0,2340.27
2022-07-12,-43999.0,-238769.0,267715.0,6135.0,-47020.0,2317.76
2022-07-13,-102512.0,356458.0,-255184.0,33855.0,15218.0,2328.61
2022-07-14,398799.0,-533532.0,103695.0,-39271.0,56560.0,2322.32
2022-07-15,263135.0,-262867.0,-20191.0,19133.0,-15012.0,2330.98
2022-07-18,627501.0,-200002.0,-421402.0,-2117.0,18004.0,2375.25
2022-07-19,38449.0,-144121.0,91628.0,36116.0,12415.0,2370.97
2022-07-20,-40002.0,-59488.0,64240.0,-23235.0,7777.0,2386.85
2022-07-21,439259.0,-113321.0,-329501.0,-3285.0,53709.0,2409.16
2022-07-22,37448.0,-303613.0,252548.0,-39221.0,-51487.0,2393.14
2022-07-25,90089.0,192782.0,-280233.0,-63595.0,32452.0,2403.69
2022-07-26,2070.0,45929.0,-48179.0,-10174.0,-2526.0,2412.96
2022-07-27,-117206.0,-55248.0,211950.0,30235.0,-112523.0,2415.53
2022-07-28,408899.0,-60187.0,-328033.0,-60526.0,-14024.0,2435.27
2022-07-29,337276.0,147828.0,-493248.0,-80203.0,-66133.0,2451.5
2022-08-01,136179.0,-175527.0,41105.0,-35791.0,-25713.0,2452.25
2022-08-02,296248.0,-595965.0,292351.0,-70957.0,-79974.0,2439.62
2022-08-03,475741.0,-146529.0,-330863.0,-3936.0,-47639.0,2461.45
2022-08-04,197412.0,-226475.0,12003.0,33217.0,368.0,2473.11
2022-08-05,375549.0,43866.0,-415723.0,-9332.0,-22932.0,2490.8
2022-08-08,175515.0,-296151.0,80649.0,27484.0,14530.0,2493.1
2022-08-09,32949.0,137076.0,-176707.0,122395.0,-21892.0,2503.46
2022-08-10,-102273.0,-203170.0,262142.0,-56898.0,-46172.0,2480.88
